"fecha","conteo_ordenes"
"2012-10-01",187
"2012-10-02",220
"2012-10-03",228
"2012-10-04",203
"2012-10-05",262
"2012-10-06",122
"2012-10-07",217
"2012-10-08",198
"2012-10-09",200
"2012-10-10",262
"2012-10-11",303
"2012-10-12",270
"2012-10-13",207
"2012-10-14",194
"2012-10-15",239
"2012-10-16",229
"2012-10-17",235
"2012-10-18",234
"2012-10-19",268
"2012-10-20",149
"2012-10-21",193
"2012-10-22",285
"2012-10-23",278
"2012-10-24",247
"2012-10-25",235
"2012-10-26",280
"2012-10-27",129
"2012-10-28",195
"2012-10-29",240
"2012-10-30",251
"2012-10-31",282
"2013-02-09",373
"2013-02-10",368
"2013-02-11",411
"2013-02-12",385
"2013-02-13",467
"2013-02-14",476
"2013-02-15",516
"2013-02-01",317
"2013-02-02",272
"2013-02-03",263
"2013-02-04",278
"2013-02-05",296
"2013-02-06",314
"2013-02-07",313
"2013-02-08",346
